Time hours,Time minutes,Broth,OD reading,CFU/mL,log(CFU/mL)
0.00,0,BHI,0.055,4.06E+04,4.608
0.00,0,BHI,0.059,4.27E+04,4.6304
0.00,0,BHI,0.053,3.95E+04,4.5968
0.17,10,BHI,0.052,3.90E+04,4.5912
0.17,10,BHI,0.041,3.39E+04,4.5296
0.17,10,BHI,0.037,3.22E+04,4.5072
0.33,20,BHI,0.15,1.38E+05,5.14
0.33,20,BHI,0.078,5.46E+04,4.7368
0.33,20,BHI,0.11,8.24E+04,4.916
0.50,30,BHI,0.08,5.60E+04,4.748
0.50,30,BHI,0.095,6.79E+04,4.832
0.50,30,BHI,0.096,6.88E+04,4.8376
0.67,40,BHI,0.059,4.27E+04,4.6304
0.67,40,BHI,0.082,5.74E+04,4.7592
0.67,40,BHI,0.047,3.66E+04,4.5632
0.83,50,BHI,0.156,1.49E+05,5.1736
0.83,50,BHI,0.081,5.67E+04,4.7536
0.83,50,BHI,0.052,3.90E+04,4.5912
1.00,60,BHI,0.063,4.50E+04,4.6528
1.00,60,BHI,0.093,6.62E+04,4.8208
1.00,60,BHI,0.071,4.98E+04,4.6976
1.17,70,BHI,0.085,5.97E+04,4.776
1.17,70,BHI,0.1,7.24E+04,4.86
1.17,70,BHI,0.096,6.88E+04,4.8376
1.33,80,BHI,0.13,1.07E+05,5.028
1.33,80,BHI,0.2,2.63E+05,5.42
1.33,80,BHI,0.152,1.42E+05,5.1512
1.50,90,BHI,0.132,1.09E+05,5.0392
1.50,90,BHI,0.124,9.87E+04,4.9944
1.50,90,BHI,0.19,2.31E+05,5.364
1.67,100,BHI,0.157,1.51E+05,5.1792
1.67,100,BHI,0.15,1.38E+05,5.14
1.67,100,BHI,0.24,4.41E+05,5.644
1.83,110,BHI,0.2,2.63E+05,5.42
1.83,110,BHI,0.183,2.11E+05,5.3248
1.83,110,BHI,0.309,1.07E+06,6.0304
2.00,120,BHI,0.23,3.87E+05,5.588
2.00,120,BHI,0.21,2.99E+05,5.476
2.00,120,BHI,0.378,2.61E+06,6.4168
2.17,130,BHI,0.277,7.10E+05,5.8512
2.17,130,BHI,0.252,5.14E+05,5.7112
2.17,130,BHI,0.405,3.70E+06,6.568
2.33,140,BHI,0.348,1.77E+06,6.2488
2.33,140,BHI,0.306,1.03E+06,6.0136
2.33,140,BHI,0.484,1.02E+07,7.0104
2.50,150,BHI,0.382,2.75E+06,6.4392
2.50,150,BHI,0.382,2.75E+06,6.4392
2.50,150,BHI,0.498,1.23E+07,7.0888
2.67,160,BHI,0.496,1.20E+07,7.0776
2.67,160,BHI,0.398,3.38E+06,6.5288
2.67,160,BHI,0.625,6.31E+07,7.8
2.83,170,BHI,0.585,3.77E+07,7.576
2.83,170,BHI,0.471,8.66E+06,6.9376
2.83,170,BHI,0.662,1.02E+08,8.0072
3.00,180,BHI,0.694,1.54E+08,8.1864
3.00,180,BHI,0.553,2.49E+07,7.3968
3.00,180,BHI,0.76,3.60E+08,8.556
3.17,190,BHI,0.806,6.51E+08,8.8136
3.17,190,BHI,0.612,5.34E+07,7.7272
3.17,190,BHI,0.834,9.34E+08,8.9704
3.33,200,BHI,0.841,1.02E+09,9.0096
3.33,200,BHI,0.669,1.11E+08,8.0464
3.33,200,BHI,0.868,1.45E+09,9.1608
3.50,210,BHI,0.914,2.62E+09,9.4184
3.50,210,BHI,0.721,2.18E+08,8.3376
3.50,210,BHI,0.917,2.72E+09,9.4352
3.67,220,BHI,1.039,1.31E+10,10.1184
3.67,220,BHI,0.877,1.63E+09,9.2112
3.67,220,BHI,1.052,1.55E+10,10.1912
3.83,230,BHI,1.09,2.54E+10,10.404
3.83,230,BHI,1.007,8.69E+09,9.9392
3.83,230,BHI,1.069,1.93E+10,10.2864
4.00,240,BHI,1.176,7.68E+10,10.8856
4.00,240,BHI,1.067,1.88E+10,10.2752
4.00,240,BHI,1.125,3.98E+10,10.6
4.17,250,BHI,1.277,2.83E+11,11.4512
4.17,250,BHI,1.194,9.69E+10,10.9864
4.17,250,BHI,1.296,3.61E+11,11.5576
4.33,260,BHI,1.308,4.22E+11,11.6248
4.33,260,BHI,1.289,3.30E+11,11.5184
4.33,260,BHI,1.302,3.90E+11,11.5912
4.50,270,BHI,1.339,6.29E+11,11.7984
4.50,270,BHI,1.284,3.09E+11,11.4904
4.50,270,BHI,1.313,4.50E+11,11.6528
4.67,280,BHI,1.375,1.00E+12,12
4.67,280,BHI,1.316,4.67E+11,11.6696
4.67,280,BHI,1.379,1.05E+12,12.0224
4.83,290,BHI,1.432,2.09E+12,12.3192
4.83,290,BHI,1.417,1.72E+12,12.2352
4.83,290,BHI,1.438,2.25E+12,12.3528
5.00,300,BHI,1.473,3.54E+12,12.5488
5.00,300,BHI,1.425,1.91E+12,12.28
5.00,300,BHI,1.469,3.36E+12,12.5264
5.17,310,BHI,1.501,5.08E+12,12.7056
5.17,310,BHI,1.449,2.60E+12,12.4144
5.17,310,BHI,1.501,5.08E+12,12.7056
5.33,320,BHI,1.5,5.01E+12,12.7
5.33,320,BHI,1.49,4.41E+12,12.644
5.33,320,BHI,1.499,4.95E+12,12.6944
5.50,330,BHI,1.534,7.77E+12,12.8904
5.50,330,BHI,1.512,5.85E+12,12.7672
5.50,330,BHI,1.52,6.49E+12,12.812
5.67,340,BHI,1.562,1.11E+13,13.0472
5.67,340,BHI,1.55,9.55E+12,12.98
5.67,340,BHI,1.571,1.25E+13,13.0976
5.83,350,BHI,1.583,1.46E+13,13.1648
5.83,350,BHI,1.57,1.24E+13,13.092
5.83,350,BHI,1.584,1.48E+13,13.1704
6.00,360,BHI,1.581,1.42E+13,13.1536
6.00,360,BHI,1.564,1.14E+13,13.0584
6.00,360,BHI,1.59,1.60E+13,13.204
6.17,370,BHI,1.612,2.12E+13,13.3272
6.17,370,BHI,1.593,1.66E+13,13.2208
6.17,370,BHI,1.62,2.36E+13,13.372
6.33,380,BHI,1.644,3.21E+13,13.5064
6.33,380,BHI,1.614,2.18E+13,13.3384
6.33,380,BHI,1.652,3.56E+13,13.5512
6.50,390,BHI,1.691,5.88E+13,13.7696
6.50,390,BHI,1.645,3.25E+13,13.512
6.50,390,BHI,1.683,5.31E+13,13.7248
6.67,400,BHI,1.685,5.45E+13,13.736
6.67,400,BHI,1.668,4.37E+13,13.6408
6.67,400,BHI,1.693,6.04E+13,13.7808
6.83,410,BHI,1.714,7.91E+13,13.8984
6.83,410,BHI,1.691,5.88E+13,13.7696
6.83,410,BHI,1.723,8.89E+13,13.9488
7.00,420,BHI,1.706,7.14E+13,13.8536
7.00,420,BHI,1.685,5.45E+13,13.736
7.00,420,BHI,1.696,6.27E+13,13.7976
7.17,430,BHI,1.751,1.28E+14,14.1056
7.17,430,BHI,1.733,1.01E+14,14.0048
7.17,430,BHI,1.76,1.43E+14,14.156
7.33,440,BHI,1.758,1.40E+14,14.1448
7.33,440,BHI,1.75,1.26E+14,14.1
7.33,440,BHI,1.779,1.83E+14,14.2624
7.50,450,BHI,1.798,2.34E+14,14.3688
7.50,450,BHI,1.797,2.31E+14,14.3632
7.50,450,BHI,1.814,2.87E+14,14.4584
7.67,460,BHI,1.805,2.56E+14,14.408
7.67,460,BHI,1.796,2.28E+14,14.3576
7.67,460,BHI,1.824,3.27E+14,14.5144
7.83,470,BHI,1.827,3.40E+14,14.5312
7.83,470,BHI,1.829,3.49E+14,14.5424
7.83,470,BHI,1.841,4.07E+14,14.6096
8.00,480,BHI,1.835,3.77E+14,14.576
8.00,480,BHI,1.841,4.07E+14,14.6096
8.00,480,BHI,1.855,4.88E+14,14.688
8.17,490,BHI,1.851,4.63E+14,14.6656
8.17,490,BHI,1.851,4.63E+14,14.6656
8.17,490,BHI,1.872,6.07E+14,14.7832
8.33,500,BHI,1.872,6.07E+14,14.7832
8.33,500,BHI,1.877,6.47E+14,14.8112
8.33,500,BHI,1.858,5.07E+14,14.7048
8.50,510,BHI,1.888,7.46E+14,14.8728
8.50,510,BHI,1.886,7.27E+14,14.8616
8.50,510,BHI,1.906,9.41E+14,14.9736
8.67,520,BHI,1.902,8.94E+14,14.9512
8.67,520,BHI,1.893,7.96E+14,14.9008
8.67,520,BHI,1.888,7.46E+14,14.8728
8.83,530,BHI,1.912,1.02E+15,15.0072
8.83,530,BHI,1.903,9.05E+14,14.9568
8.83,530,BHI,1.929,1.27E+15,15.1024
9.00,540,BHI,1.922,1.16E+15,15.0632
9.00,540,BHI,1.919,1.11E+15,15.0464
9.00,540,BHI,1.932,1.32E+15,15.1192
9.17,550,BHI,1.954,1.75E+15,15.2424
9.17,550,BHI,1.938,1.42E+15,15.1528
9.17,550,BHI,1.96,1.89E+15,15.276
9.33,560,BHI,1.952,1.70E+15,15.2312
9.33,560,BHI,1.965,2.01E+15,15.304
9.33,560,BHI,1.979,2.41E+15,15.3824
9.50,570,BHI,1.948,1.62E+15,15.2088
9.50,570,BHI,1.964,1.99E+15,15.2984
9.50,570,BHI,1.991,2.82E+15,15.4496
9.67,580,BHI,1.955,1.77E+15,15.248
9.67,580,BHI,1.966,2.04E+15,15.3096
9.67,580,BHI,1.985,2.61E+15,15.416
9.83,590,BHI,1.991,2.82E+15,15.4496
9.83,590,BHI,1.999,3.12E+15,15.4944
9.83,590,BHI,2.025,4.37E+15,15.64
10.00,600,BHI,1.996,3.00E+15,15.4776
10.00,600,BHI,2.012,3.69E+15,15.5672
10.00,600,BHI,2.006,3.42E+15,15.5336
10.17,610,BHI,1.981,2.48E+15,15.3936
10.17,610,BHI,2.011,3.64E+15,15.5616
10.17,610,BHI,2.041,5.37E+15,15.7296
10.33,620,BHI,2.005,3.37E+15,15.528
10.33,620,BHI,2.047,5.80E+15,15.7632
10.33,620,BHI,2.065,7.31E+15,15.864
10.50,630,BHI,2.026,4.42E+15,15.6456
10.50,630,BHI,2.057,6.59E+15,15.8192
10.50,630,BHI,2.078,8.65E+15,15.9368
10.67,640,BHI,2.029,4.60E+15,15.6624
10.67,640,BHI,2.071,7.90E+15,15.8976
10.67,640,BHI,2.09,1.01E+16,16.004
10.83,650,BHI,2.024,4.31E+15,15.6344
10.83,650,BHI,2.079,8.76E+15,15.9424
10.83,650,BHI,2.102,1.18E+16,16.0712
11.00,660,BHI,2.033,4.84E+15,15.6848
11.00,660,BHI,2.083,9.22E+15,15.9648
11.00,660,BHI,2.112,1.34E+16,16.1272
11.17,670,BHI,2.063,7.13E+15,15.8528
11.17,670,BHI,2.119,1.47E+16,16.1664
11.17,670,BHI,2.136,1.83E+16,16.2616
11.33,680,BHI,2.084,9.34E+15,15.9704
11.33,680,BHI,2.125,1.58E+16,16.2
11.33,680,BHI,2.15,2.19E+16,16.34
11.50,690,BHI,2.097,1.10E+16,16.0432
11.50,690,BHI,2.149,2.16E+16,16.3344
11.50,690,BHI,2.184,3.39E+16,16.5304
11.67,700,BHI,2.075,8.32E+15,15.92
11.67,700,BHI,2.13,1.69E+16,16.228
11.67,700,BHI,2.158,2.43E+16,16.3848
11.83,710,BHI,2.098,1.12E+16,16.0488
11.83,710,BHI,2.152,2.24E+16,16.3512
11.83,710,BHI,2.178,3.14E+16,16.4968
12.00,720,BHI,2.093,1.05E+16,16.0208
12.00,720,BHI,2.163,2.59E+16,16.4128
12.00,720,BHI,2.176,3.06E+16,16.4856
12.17,730,BHI,2.114,1.38E+16,16.1384
12.17,730,BHI,2.183,3.35E+16,16.5248
12.17,730,BHI,2.194,3.86E+16,16.5864
12.33,740,BHI,2.128,1.65E+16,16.2168
12.33,740,BHI,2.201,4.22E+16,16.6256
12.33,740,BHI,2.221,5.47E+16,16.7376
12.50,750,BHI,2.14,1.92E+16,16.284
12.50,750,BHI,2.208,4.62E+16,16.6648
12.50,750,BHI,2.229,6.06E+16,16.7824
12.67,760,BHI,2.132,1.73E+16,16.2392
12.67,760,BHI,2.208,4.62E+16,16.6648
12.67,760,BHI,2.217,5.19E+16,16.7152
12.83,770,BHI,2.134,1.78E+16,16.2504
12.83,770,BHI,2.211,4.80E+16,16.6816
12.83,770,BHI,2.207,4.56E+16,16.6592
13.00,780,BHI,2.152,2.24E+16,16.3512
13.00,780,BHI,2.219,5.33E+16,16.7264
13.00,780,BHI,2.236,6.63E+16,16.8216
13.17,790,BHI,2.151,2.22E+16,16.3456
13.17,790,BHI,2.219,5.33E+16,16.7264
13.17,790,BHI,2.228,5.98E+16,16.7768
13.33,800,BHI,2.194,3.86E+16,16.5864
13.33,800,BHI,2.254,8.36E+16,16.9224
13.33,800,BHI,2.283,1.22E+17,17.0848
13.50,810,BHI,2.156,2.36E+16,16.3736
13.50,810,BHI,2.23,6.14E+16,16.788
13.50,810,BHI,2.25,7.94E+16,16.9
13.67,820,BHI,2.162,2.55E+16,16.4072
13.67,820,BHI,2.234,6.46E+16,16.8104
13.67,820,BHI,2.256,8.58E+16,16.9336
13.83,830,BHI,2.16,2.49E+16,16.396
13.83,830,BHI,2.236,6.63E+16,16.8216
13.83,830,BHI,2.251,8.05E+16,16.9056
14.00,840,BHI,2.172,2.91E+16,16.4632
14.00,840,BHI,2.253,8.26E+16,16.9168
14.00,840,BHI,2.267,9.89E+16,16.9952
14.17,850,BHI,2.18,3.22E+16,16.508
14.17,850,BHI,2.253,8.26E+16,16.9168
14.17,850,BHI,2.264,9.51E+16,16.9784
14.33,860,BHI,2.216,5.12E+16,16.7096
14.33,860,BHI,2.273,1.07E+17,17.0288
14.33,860,BHI,2.275,1.10E+17,17.04
14.50,870,BHI,2.205,4.45E+16,16.648
14.50,870,BHI,2.264,9.51E+16,16.9784
14.50,870,BHI,2.274,1.08E+17,17.0344
14.67,880,BHI,2.208,4.62E+16,16.6648
14.67,880,BHI,2.27,1.03E+17,17.012
14.67,880,BHI,2.281,1.18E+17,17.0736
14.83,890,BHI,2.214,4.99E+16,16.6984
14.83,890,BHI,2.288,1.30E+17,17.1128
14.83,890,BHI,2.301,1.53E+17,17.1856
15.00,900,BHI,2.223,5.61E+16,16.7488
15.00,900,BHI,2.287,1.28E+17,17.1072
15.00,900,BHI,2.29,1.33E+17,17.124
15.17,910,BHI,2.22,5.40E+16,16.732
15.17,910,BHI,2.283,1.22E+17,17.0848
15.17,910,BHI,2.289,1.31E+17,17.1184
15.33,920,BHI,2.228,5.98E+16,16.7768
15.33,920,BHI,2.306,1.64E+17,17.2136
15.33,920,BHI,2.312,1.77E+17,17.2472
15.50,930,BHI,2.226,5.83E+16,16.7656
15.50,930,BHI,2.29,1.33E+17,17.124
15.50,930,BHI,2.317,1.88E+17,17.2752
15.67,940,BHI,2.22,5.40E+16,16.732
